featured,date,start_time,event_name,venue,venue_address,venue_lat,venue_lng,venue_notes,venue_map_status,region,url,category
,2026-07-01,,Grace and Hammer Live Music,Grace and Hammer Restaurant,"Redmond, Oregon",44.2726203,-121.1739212,,,bend,https://ktvz.com/news/2026/06/10/grace-and-hammer-expands-in-redmond-with-live-music-menu-updates-under-new-ownership/,Music
,2026-07-01,3:00 AM,Leven Kali,The Roxy Theatre - Los Angeles,"9009 Sunset Boulevard, Los Angeles, CA 90069, US, United States",34.0908645,-118.3879663,,,los-angeles,https://allevents.in/los-angeles/leven-kali/3200030224948016,Music
,2026-07-01,4:00 PM,Jinjer,The Wiltern,"3790 Wilshire Boulevard, Los Angeles, United States",34.0611387,-118.3084775,,,los-angeles,https://allevents.in/los-angeles/jinjer/2300029862488209,Community
,2026-07-01,6:00 PM,ZYZZYVA Movie Night with Ingrid Rojas Contreras and T Kira Madden,Roxie Theater,"3117 16th St, San Francisco, CA 94103, USA",37.764658,-122.422429,,,san-francisco,https://www.litquake.org/events-1/zyzzyva-movie-night-with-ingrid-rojas-contreras-and-t-kira-madden,Arts
,2026-07-01,6:00 PM,AI Tech & Startup Night — San Francisco,Pizzetta Napoletana,"775 Frederick Street, San Francisco, United States",37.7657275,-122.4572643,,,san-francisco,https://allevents.in/san-francisco/ai-tech-and-startup-night-—-san-francisco/100001991021656371,Music
,2026-07-01,6:00 PM,Amour Escrow Mixer,Hotel Figueroa - The Unbound Collection by Hyatt,"939 South Figueroa Street, Los Angeles, United States",34.045529,-118.2640141,,,los-angeles,https://allevents.in/los-angeles/amour-escrow-mixer/100001990706201838,
,2026-07-01,6:30 PM,KALEO – Way Down We Go Tour,Grand Lodge,"3505 Pacific Ave, Forest Grove, OR 97116",45.5213233,-123.0856888,,,portland-metro,https://grandlodgeconcerts.com/events/,Music
,2026-07-01,7:00 PM,Benny Amon & His Lullaby in Rhythm - Live Swing Music & Lindy Hop,Cat's Corner,"435 Broadway, San Francisco, CA 94133-4514, United States",37.7979193,-122.404482,,,san-francisco,https://allevents.in/san-francisco/benny-amon-and-his-lullaby-in-rhythm-live-swing-music-and-lindy-hop/200030171742500,Music
,2026-07-01,7:00 PM,Jammin’ with the Pros Jazz Jam,Whirled Pies Pizzeria & Bar,"199 West 8th Ave, Eugene, OR 97401",44.05123,-123.095505,,,eugene,https://whirledpies.com/event/7-1-and-7-15-jammin-with-the-pros-jazz-jam/,Music
,2026-07-01,7:00 PM,NEW@NIGHT: Echoes of Home,The Old Church,"Portland, OR",45.515232,-122.6783853,,,portland-metro,https://cmnw.org/concerts-events/2026-summer-festival/newnight-echoes-of-home/2418/,Music
,2026-07-01,7:00 PM,ryan davis & the roadhouse band,Mississippi Studios,"3939 N Mississippi Ave Portland, OR 97227",45.55144019999999,-122.6758361,,,portland-metro,https://www.bandsintown.com/e/108467396-ryan-davis-and-the-roadhouse-band-at-mississippi-studios,Music
,2026-07-01,7:00 PM,David Lynch’s Los Angeles with Amanda Karkoutly,Philosophical Research Society,"3910 Los Feliz Boulevard, Los Angeles, United States",34.1131212,-118.2776505,,,los-angeles,https://allevents.in/los-angeles/david-lynch’s-los-angeles-with-amanda-karkoutly/100001990994564338,Music
,2026-07-01,7:30 PM,San Francisco Symphony - Mendelssohn 5 and Bruch Violin Concerto,Davies Symphony Hall,"201 Van Ness Ave., San Francisco, CA 94102, United States",37.7775104,-122.4207115,,,san-francisco,https://allevents.in/san-francisco/san-francisco-symphony-mendelssohn-5-and-bruch-violin-concerto-at-davies-symphony-hall/2400030026725724,Music
,2026-07-01,7:30 PM,SF Comedy Kings: An Old School Blowout,Punch Line Comedy Club - San Francisco,"San Francisco, United States",37.7749295,-122.4194155,,,san-francisco,https://allevents.in/san-francisco/sf-comedy-kings-an-old-school-blowout/210002774399594,Music
